id,im_path,label_path,unlabelled,asphalt,dirt,mud,water,gravel,other-terrain,tree-trunk,tree-foliage,bush,fence,structure,pole,vehicle,rock,log,other-object,sky,grass
1623370935-318539998,./sample/images\1623370935-318539998.png,./sample/labels\1623370935-318539998.png,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1
1623370944-163155211,./sample/images\1623370944-163155211.png,./sample/labels\1623370944-163155211.png,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
1623370956-625061408,./sample/images\1623370956-625061408.png,./sample/labels\1623370956-625061408.png,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
1623370968-015630490,./sample/images\1623370968-015630490.png,./sample/labels\1623370968-015630490.png,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
1623370975-453997517,./sample/images\1623370975-453997517.png,./sample/labels\1623370975-453997517.png,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
1623370984-831875505,./sample/images\1623370984-831875505.png,./sample/labels\1623370984-831875505.png,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
1623371005-468036060,./sample/images\1623371005-468036060.png,./sample/labels\1623371005-468036060.png,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1
1623371014-983860171,./sample/images\1623371014-983860171.png,./sample/labels\1623371014-983860171.png,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1
1623371019-471140225,./sample/images\1623371019-471140225.png,./sample/labels\1623371019-471140225.png,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0
1623371022-620160130,./sample/images\1623371022-620160130.png,./sample/labels\1623371022-620160130.png,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
1623371030-863524788,./sample/images\1623371030-863524788.png,./sample/labels\1623371030-863524788.png,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
1623371040-241279858,./sample/images\1623371040-241279858.png,./sample/labels\1623371040-241279858.png,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
1623371052-503418664,./sample/images\1623371052-503418664.png,./sample/labels\1623371052-503418664.png,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
1623371062-418319165,./sample/images\1623371062-418319165.png,./sample/labels\1623371062-418319165.png,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1
1623371072-200469319,./sample/images\1623371072-200469319.png,./sample/labels\1623371072-200469319.png,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
1623371073-541810773,./sample/images\1623371073-541810773.png,./sample/labels\1623371073-541810773.png,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
1623371077-763032124,./sample/images\1623371077-763032124.png,./sample/labels\1623371077-763032124.png,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
1623371091-496654120,./sample/images\1623371091-496654120.png,./sample/labels\1623371091-496654120.png,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
1623371096-856689974,./sample/images\1623371096-856689974.png,./sample/labels\1623371096-856689974.png,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
1623371105-834726702,./sample/images\1623371105-834726702.png,./sample/labels\1623371105-834726702.png,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
1623371121-043948700,./sample/images\1623371121-043948700.png,./sample/labels\1623371121-043948700.png,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,1
1623371128-217362680,./sample/images\1623371128-217362680.png,./sample/labels\1623371128-217362680.png,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,1
1623371137-864873756,./sample/images\1623371137-864873756.png,./sample/labels\1623371137-864873756.png,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1
1623371145-900897337,./sample/images\1623371145-900897337.png,./sample/labels\1623371145-900897337.png,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,1
1623371154-745027438,./sample/images\1623371154-745027438.png,./sample/labels\1623371154-745027438.png,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,1
1623371161-110198027,./sample/images\1623371161-110198027.png,./sample/labels\1623371161-110198027.png,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,1
1623371167-677063653,./sample/images\1623371167-677063653.png,./sample/labels\1623371167-677063653.png,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,1
1623371171-830164481,./sample/images\1623371171-830164481.png,./sample/labels\1623371171-830164481.png,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,1
1623371184-627833534,./sample/images\1623371184-627833534.png,./sample/labels\1623371184-627833534.png,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,1
1623371190-456230454,./sample/images\1623371190-456230454.png,./sample/labels\1623371190-456230454.png,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,1
1623371195-347431682,./sample/images\1623371195-347431682.png,./sample/labels\1623371195-347431682.png,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1
1623371205-062474420,./sample/images\1623371205-062474420.png,./sample/labels\1623371205-062474420.png,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1
1623371214-241460933,./sample/images\1623371214-241460933.png,./sample/labels\1623371214-241460933.png,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1
1623371224-291645600,./sample/images\1623371224-291645600.png,./sample/labels\1623371224-291645600.png,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1
1623371233-671536136,./sample/images\1623371233-671536136.png,./sample/labels\1623371233-671536136.png,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1
1623371245-999661952,./sample/images\1623371245-999661952.png,./sample/labels\1623371245-999661952.png,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1
1623371253-907560856,./sample/images\1623371253-907560856.png,./sample/labels\1623371253-907560856.png,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1
1623371261-476962753,./sample/images\1623371261-476962753.png,./sample/labels\1623371261-476962753.png,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,1
1623371266-905721303,./sample/images\1623371266-905721303.png,./sample/labels\1623371266-905721303.png,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
1623371285-999028768,./sample/images\1623371285-999028768.png,./sample/labels\1623371285-999028768.png,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1
1623371293-771179866,./sample/images\1623371293-771179866.png,./sample/labels\1623371293-771179866.png,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1
1623371302-146652566,./sample/images\1623371302-146652566.png,./sample/labels\1623371302-146652566.png,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,1
1623371311-258640340,./sample/images\1623371311-258640340.png,./sample/labels\1623371311-258640340.png,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,1
1623371325-462491655,./sample/images\1623371325-462491655.png,./sample/labels\1623371325-462491655.png,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
1623371332-899188904,./sample/images\1623371332-899188904.png,./sample/labels\1623371332-899188904.png,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1
1623371346-098294240,./sample/images\1623371346-098294240.png,./sample/labels\1623371346-098294240.png,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1
1623371367-672447615,./sample/images\1623371367-672447615.png,./sample/labels\1623371367-672447615.png,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1
1623371374-238427981,./sample/images\1623371374-238427981.png,./sample/labels\1623371374-238427981.png,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
1623371379-464550328,./sample/images\1623371379-464550328.png,./sample/labels\1623371379-464550328.png,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
1623371389-916503806,./sample/images\1623371389-916503806.png,./sample/labels\1623371389-916503806.png,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
1623371398-961783542,./sample/images\1623371398-961783542.png,./sample/labels\1623371398-961783542.png,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1
1623371410-687211467,./sample/images\1623371410-687211467.png,./sample/labels\1623371410-687211467.png,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
1623371417-252802983,./sample/images\1623371417-252802983.png,./sample/labels\1623371417-252802983.png,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1
1623371427-235855112,./sample/images\1623371427-235855112.png,./sample/labels\1623371427-235855112.png,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1
1623371433-131902804,./sample/images\1623371433-131902804.png,./sample/labels\1623371433-131902804.png,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
1623371441-037948177,./sample/images\1623371441-037948177.png,./sample/labels\1623371441-037948177.png,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1
1623371452-093220857,./sample/images\1623371452-093220857.png,./sample/labels\1623371452-093220857.png,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
1623371460-809018271,./sample/images\1623371460-809018271.png,./sample/labels\1623371460-809018271.png,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1
1623371468-642162532,./sample/images\1623371468-642162532.png,./sample/labels\1623371468-642162532.png,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
1623371476-414240155,./sample/images\1623371476-414240155.png,./sample/labels\1623371476-414240155.png,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1
1623371483-382279747,./sample/images\1623371483-382279747.png,./sample/labels\1623371483-382279747.png,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1
1623371491-087337413,./sample/images\1623371491-087337413.png,./sample/labels\1623371491-087337413.png,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1
1623371501-273659121,./sample/images\1623371501-273659121.png,./sample/labels\1623371501-273659121.png,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1
1623371511-322260767,./sample/images\1623371511-322260767.png,./sample/labels\1623371511-322260767.png,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1
1623371524-521185325,./sample/images\1623371524-521185325.png,./sample/labels\1623371524-521185325.png,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1
1623371527-468596757,./sample/images\1623371527-468596757.png,./sample/labels\1623371527-468596757.png,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
1623371531-756540578,./sample/images\1623371531-756540578.png,./sample/labels\1623371531-756540578.png,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0
1623371547-635649872,./sample/images\1623371547-635649872.png,./sample/labels\1623371547-635649872.png,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
1623371559-360771446,./sample/images\1623371559-360771446.png,./sample/labels\1623371559-360771446.png,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
1623371573-299686354,./sample/images\1623371573-299686354.png,./sample/labels\1623371573-299686354.png,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1
1623371582-543165851,./sample/images\1623371582-543165851.png,./sample/labels\1623371582-543165851.png,0,0,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,1,1
1623371592-124079423,./sample/images\1623371592-124079423.png,./sample/labels\1623371592-124079423.png,0,0,1,1,1,0,0,1,1,0,0,0,0,0,1,0,1,0,1
1623371606-797160232,./sample/images\1623371606-797160232.png,./sample/labels\1623371606-797160232.png,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1
1623371608-809406696,./sample/images\1623371608-809406696.png,./sample/labels\1623371608-809406696.png,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
1623371616-583126416,./sample/images\1623371616-583126416.png,./sample/labels\1623371616-583126416.png,0,0,1,1,1,0,0,1,1,0,0,0,0,0,1,0,1,1,0
1623371622-810306047,./sample/images\1623371622-810306047.png,./sample/labels\1623371622-810306047.png,0,0,1,1,1,0,0,1,1,0,0,0,0,0,1,0,1,1,1
1623371624-217290877,./sample/images\1623371624-217290877.png,./sample/labels\1623371624-217290877.png,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
1623371625-091103401,./sample/images\1623371625-091103401.png,./sample/labels\1623371625-091103401.png,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
1623371627-634362704,./sample/images\1623371627-634362704.png,./sample/labels\1623371627-634362704.png,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0
1623371631-520215106,./sample/images\1623371631-520215106.png,./sample/labels\1623371631-520215106.png,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1
1623371638-890339749,./sample/images\1623371638-890339749.png,./sample/labels\1623371638-890339749.png,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
1623371643-183231271,./sample/images\1623371643-183231271.png,./sample/labels\1623371643-183231271.png,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
1623371677-617016861,./sample/images\1623371677-617016861.png,./sample/labels\1623371677-617016861.png,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1
1623371693-303922467,./sample/images\1623371693-303922467.png,./sample/labels\1623371693-303922467.png,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1
1623371709-977813398,./sample/images\1623371709-977813398.png,./sample/labels\1623371709-977813398.png,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
1623371712-188820098,./sample/images\1623371712-188820098.png,./sample/labels\1623371712-188820098.png,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
1623371729-743044771,./sample/images\1623371729-743044771.png,./sample/labels\1623371729-743044771.png,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
1623371770-211120063,./sample/images\1623371770-211120063.png,./sample/labels\1623371770-211120063.png,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1
1623371772-422311381,./sample/images\1623371772-422311381.png,./sample/labels\1623371772-422311381.png,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1
1623371776-978352310,./sample/images\1623371776-978352310.png,./sample/labels\1623371776-978352310.png,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
1623371785-757499163,./sample/images\1623371785-757499163.png,./sample/labels\1623371785-757499163.png,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1
1623371792-589400882,./sample/images\1623371792-589400882.png,./sample/labels\1623371792-589400882.png,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
1623371802-974485611,./sample/images\1623371802-974485611.png,./sample/labels\1623371802-974485611.png,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1
1623371809-880530391,./sample/images\1623371809-880530391.png,./sample/labels\1623371809-880530391.png,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1
1623372073-924311198,./sample/images\1623372073-924311198.png,./sample/labels\1623372073-924311198.png,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1
1623372078-347605110,./sample/images\1623372078-347605110.png,./sample/labels\1623372078-347605110.png,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1
1623372084-510522905,./sample/images\1623372084-510522905.png,./sample/labels\1623372084-510522905.png,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1
1623372090-273152635,./sample/images\1623372090-273152635.png,./sample/labels\1623372090-273152635.png,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,1,0,1,1
1623372093-354444836,./sample/images\1623372093-354444836.png,./sample/labels\1623372093-354444836.png,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1
1623372102-399467696,./sample/images\1623372102-399467696.png,./sample/labels\1623372102-399467696.png,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1
1623372109-435183149,./sample/images\1623372109-435183149.png,./sample/labels\1623372109-435183149.png,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1
1623372114-593577055,./sample/images\1623372114-593577055.png,./sample/labels\1623372114-593577055.png,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1
1623372123-571619288,./sample/images\1623372123-571619288.png,./sample/labels\1623372123-571619288.png,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1
1623372133-889638842,./sample/images\1623372133-889638842.png,./sample/labels\1623372133-889638842.png,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1
1623372141-327487284,./sample/images\1623372141-327487284.png,./sample/labels\1623372141-327487284.png,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1
1623372148-629718679,./sample/images\1623372148-629718679.png,./sample/labels\1623372148-629718679.png,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1
1623372155-666854906,./sample/images\1623372155-666854906.png,./sample/labels\1623372155-666854906.png,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1
1623372158-614123707,./sample/images\1623372158-614123707.png,./sample/labels\1623372158-614123707.png,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,1
1623372162-163825874,./sample/images\1623372162-163825874.png,./sample/labels\1623372162-163825874.png,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1
1623372168-059947393,./sample/images\1623372168-059947393.png,./sample/labels\1623372168-059947393.png,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1
1623372169-674295382,./sample/images\1623372169-674295382.png,./sample/labels\1623372169-674295382.png,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1
1623372170-873821785,./sample/images\1623372170-873821785.png,./sample/labels\1623372170-873821785.png,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,1
1623372183-738044244,./sample/images\1623372183-738044244.png,./sample/labels\1623372183-738044244.png,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
1623372188-297216111,./sample/images\1623372188-297216111.png,./sample/labels\1623372188-297216111.png,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
1623372192-917110952,./sample/images\1623372192-917110952.png,./sample/labels\1623372192-917110952.png,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
1623372198-411163166,./sample/images\1623372198-411163166.png,./sample/labels\1623372198-411163166.png,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
1623372202-431186689,./sample/images\1623372202-431186689.png,./sample/labels\1623372202-431186689.png,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
1623372207-121177575,./sample/images\1623372207-121177575.png,./sample/labels\1623372207-121177575.png,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1
